winner_name,value
Lleyton Hewitt,186
Jose Acasuso,162
Ernests Gulbis,86
Jo Wilfried Tsonga,155
Jarkko Nieminen,146
Frank Dancevic,103
Mischa Zverev,231
Vincent Spadea,333
Michael Russell,221
Benjamin Becker,37
Evgeny Korolev,88
Michael Llodra,219
Joseph Sirianni,164
Sam Querrey,290
Chris Guccione,56
Paul Henri Mathieu,250
Rafael Nadal,263
Rajeev Ram,265
Guillermo Garcia Lopez,121
Werner Eschauer,335
Carlos Moya,52
Alexander Kudryavtsev,13
Florent Serra,99
Kristof Vliegen,183
Jurgen Melzer,175
Xavier Malisse,337
Edouard Roger Vasselin,84
Mikhail Youzhny,229
Nicolas Mahut,237
Marin Cilic,204
Lovro Zovko,188
Robin Haase,278
Nikolay Davydenko,239
Fabrice Santoro,90
Nicolas Kiefer,235
Dmitry Tursunov,75
Andy Murray,31
Rainer Schuettler,264
Thomas Johansson,319
Philipp Kohlschreiber,256
Filippo Volandri,97
Janko Tipsarevic,145
Ivan Ljubicic,132
Christophe Rochus,57
Stanislas Wawrinka,306
Hyung Taik Lee,125
Agustin Calleri,2
David Ferrer,64
Sergio Roitman,298
Julien Benneteau,173
Nicolas Almagro,233
Juan Carlos Ferrero,167
Nicolas Massu,238
Albert Montanes,5
Olivier Rochus,243
Juan Monaco,170
Florian Mayer,100
Juan Ignacio Chela,168
Richard Gasquet,272
Sebastien Grosjean,297
Fernando Verdasco,94
Steve Darcis,310
Ivo Minar,135
Gilles Simon,112
Tomas Berdych,324
Andreas Seppi,26
Radek Stepanek,261
Roger Federer,280
Amer Delic,20
Oscar Hernandez,244
James Blake,138
Fernando Gonzalez,93
Novak Djokovic,241
Simone Bolelli,303
Denis Istomin,70
Marat Safin,196
Marcos Baghdatis,201
David Nalbandian,68
Peter Luczak,254
Alun Jones,19
Denis Gremelmayr,69
Juan Martin Del Potro,169
Feliciano Lopez,92
Igor Andreev,126
Alejandro Falla,8
Sam Warburg,291
Marc Gicquel,197
Andy Roddick,32
Michael Berrer,217
Jesse Levine,151
Mardy Fish,203
Tommy Robredo,326
Stefan Koubek,307
Paul Capdeville,249
Ivo Karlovic,134
Diego Hartfield,72
Carlos Berlocq,51
Luis Horna,190
Daniel Gimeno Traver,62
Juan Pablo Brzezicki,171
Marcel Granollers,199
Martin Vassallo Arguello,210
Santiago Ventura,293
David Marrero,67
Fabio Fognini,89
Pablo Cuevas,247
Olivier Patience,242
Eduardo Schwank,85
Nicolas Lapentti,236
Sebastian Decoud,295
Boris Pashanski,44
Igor Kunitsyn,127
Robby Ginepri,274
Ivan Navarro,133
Gilles Muller,111
Kei Nishikori,178
Bobby Reynolds,43
Mario Ancic,206
Teymuraz Gabashvili,315
Robin Soderling,279
Potito Starace,259
Thomaz Bellucci,321
Jiri Vanek,154
Tommy Haas,325
John Isner,159
Wayne Odesnik,334
Yen Hsun Lu,339
Guillermo Canas,119
Victor Hanescu,330
Jonas Bjorkman,161
Donald Young,79
Rik De Voest,273
Roko Karanusic,283
Viktor Troicki,331
Sergiy Stakhovsky,299
Jan Hernych,142
Kevin Anderson,180
Max Mirnyi,215
Dudi Sela,80
Santiago Giraldo,292
Gael Monfils,106
Ryan Sweeting,288
Arnaud Clement,35
Joao Sousa,157
Frederico Gil,105
Flavio Cipolla,98
Rui Machado,286
