tourney_name,value
Adelaide,1
Chennai,25
Doha,29
Auckland,6
Sydney,90
Australian Open,7
Vina del Mar,98
Costa Do Sauipe,27
Delray Beach,28
Marseille,54
Buenos Aires,20
Rotterdam,78
San Jose,80
Acapulco,0
Memphis,56
Zagreb,105
Dubai,30
Las Vegas,46
Indian Wells Masters,40
Miami Masters,58
Estoril,33
Houston,39
Valencia,96
Monte Carlo Masters,59
Barcelona,9
Munich,62
Rome Masters,77
Hamburg Masters,38
Casablanca,23
Dusseldorf,31
Poertschach,69
Roland Garros,76
Halle,36
Queen's Club,71
Warsaw,100
s-Hertogenbosch,106
Nottingham,67
Wimbledon,102
Bastad,11
Gstaad,35
Newport,65
Stuttgart,89
Amersfoort,2
Indianapolis,41
Kitzbuhel,44
Umag,94
Canada Masters,22
Cincinnati Masters,26
Los Angeles,49
Washington,101
Beijing Olympics,14
New Haven,63
US Open,93
Bucharest,18
Bangkok,8
Beijing,12
Metz,57
Tokyo,91
Moscow,61
Stockholm,88
Vienna,97
Madrid Masters,52
Basel,10
Lyon,51
St. Petersburg,86
Paris Masters,68
Masters Cup,55
Brisbane,17
Johannesburg,43
Viña del Mar,99
Belgrade,15
Eastbourne,32
Hamburg,37
Kuala Lumpur,45
Shanghai Masters,83
Tour Finals,92
Santiago,81
Nice,66
Atlanta,5
Montpellier,60
Winston-Salem,104
Sao Paulo,82
London Olympics,48
Bogota,16
Rio de Janeiro,75
Shenzhen,84
Quito,72
Istanbul,42
Geneva,34
Sofia,85
Marrakech,53
Los Cabos,50
Rio Olympics,74
St.Petersburg,87
Chengdu,24
Antwerp,4
Budapest,19
Antalya,3
Beijing ,13
Pune,70
New York,64
Rio De Janeiro,73
S-Hertogenbosch,79
London,47
Cabo San Lucas,21
Winston Salem,103
Us Open,95
